data_type,total_tasks,total_pseudo_solved_tasks,total_actual_solved_tasks,total_partial_actual_solved_tasks,total_solved_tasks,total_actual_solved_tasks_rate,total_partial_actual_solved_tasks_rate,total_solved_tasks_rate,actual_correct_rate_percent,partial_correct_rate_percent,total_correct_rate_percent,total_input_tokens,total_output_tokens,total_tokens,total_candidates,total_score_sum,sum_max_scores,sum_avg_scores,sum_pseudo_scores,global_avg_score
全量数据,136,29,18,29,47,0.132353,0.213235,0.345588,13.2353,21.3235,34.5588,7596284,2228231,9824515,500,48.97,30.82,13.964262,34.47,0.09794
排除训练集后,106,19,12,24,36,0.113208,0.226415,0.339623,11.3208,22.6415,33.9623,6024140,1782921,7807061,400,35.64,22.32,9.838738,25.64,0.0891
