data_type,task_difficulty,total_tasks,total_actual_solved_tasks,total_partial_actual_solved_tasks,total_solved_tasks,total_actual_solved_tasks_rate,total_partial_actual_solved_tasks_rate,total_solved_tasks_rate
全量数据,easy,62,14,2,16,0.225806,0.032258,0.258065
全量数据,medium,57,4,17,21,0.070175,0.298246,0.368421
全量数据,hard,17,0,10,10,0.0,0.588235,0.588235
全量数据,unknown,0,0,0,0,0.0,0.0,0.0
排除训练集后,easy,46,10,1,11,0.217391,0.021739,0.23913
排除训练集后,medium,48,2,15,17,0.041667,0.3125,0.354167
排除训练集后,hard,12,0,8,8,0.0,0.666667,0.666667
排除训练集后,unknown,0,0,0,0,0.0,0.0,0.0
