data_type,task_difficulty,total_tasks,total_actual_solved_tasks,total_partial_actual_solved_tasks,total_solved_tasks,total_actual_solved_tasks_rate,total_partial_actual_solved_tasks_rate,total_solved_tasks_rate
全量数据,easy,33,2,1,3,0.060606,0.030303,0.090909
全量数据,medium,39,1,8,9,0.025641,0.205128,0.230769
全量数据,hard,6,0,3,3,0.0,0.5,0.5
全量数据,unknown,0,0,0,0,0.0,0.0,0.0
排除训练集后,easy,33,2,1,3,0.060606,0.030303,0.090909
排除训练集后,medium,39,1,8,9,0.025641,0.205128,0.230769
排除训练集后,hard,6,0,3,3,0.0,0.5,0.5
排除训练集后,unknown,0,0,0,0,0.0,0.0,0.0
