data_type,total_tasks,total_pseudo_solved_tasks,total_actual_solved_tasks,total_partial_actual_solved_tasks,total_solved_tasks,total_actual_solved_tasks_rate,total_partial_actual_solved_tasks_rate,total_solved_tasks_rate,actual_correct_rate_percent,partial_correct_rate_percent,total_correct_rate_percent,total_input_tokens,total_output_tokens,total_tokens,total_candidates,total_score_sum,sum_max_scores,sum_avg_scores,sum_pseudo_scores,global_avg_score
全量数据,51,20,12,16,28,0.235294,0.313725,0.54902,23.5294,31.3725,54.902,1744764,702112,2446876,178,33.8,19.49,9.952679,23.15,0.189888
排除训练集后,46,18,11,16,27,0.23913,0.347826,0.586957,23.913,34.7826,58.6957,1575541,657396,2232937,166,31.8,18.49,9.619345,22.15,0.191566
