data_type,task_difficulty,total_tasks,total_actual_solved_tasks,total_partial_actual_solved_tasks,total_solved_tasks,total_actual_solved_tasks_rate,total_partial_actual_solved_tasks_rate,total_solved_tasks_rate
全量数据,easy,62,19,2,21,0.306452,0.032258,0.33871
全量数据,medium,57,7,24,31,0.122807,0.421053,0.54386
全量数据,hard,17,0,12,12,0.0,0.705882,0.705882
全量数据,unknown,0,0,0,0,0.0,0.0,0.0
排除训练集后,easy,46,13,1,14,0.282609,0.021739,0.304348
排除训练集后,medium,48,5,23,28,0.104167,0.479167,0.583333
排除训练集后,hard,12,0,8,8,0.0,0.666667,0.666667
排除训练集后,unknown,0,0,0,0,0.0,0.0,0.0
