data_type,total_tasks,total_pseudo_solved_tasks,total_actual_solved_tasks,total_partial_actual_solved_tasks,total_solved_tasks,total_actual_solved_tasks_rate,total_partial_actual_solved_tasks_rate,total_solved_tasks_rate,actual_correct_rate_percent,partial_correct_rate_percent,total_correct_rate_percent,total_input_tokens,total_output_tokens,total_tokens,total_candidates,total_score_sum,sum_max_scores,sum_avg_scores,sum_pseudo_scores,global_avg_score
全量数据,135,33,26,30,56,0.192593,0.222222,0.414815,19.2593,22.2222,41.4815,10487454,2250640,12738094,448,53.06,38.82,16.081821,42.4,0.118437
排除训练集后,106,24,19,25,44,0.179245,0.235849,0.415094,17.9245,23.5849,41.5094,8321414,1804672,10126086,360,39.23,29.65,11.530155,32.73,0.108972
