data_type,total_tasks,total_pseudo_solved_tasks,total_actual_solved_tasks,total_partial_actual_solved_tasks,total_solved_tasks,total_actual_solved_tasks_rate,total_partial_actual_solved_tasks_rate,total_solved_tasks_rate,actual_correct_rate_percent,partial_correct_rate_percent,total_correct_rate_percent,total_input_tokens,total_output_tokens,total_tokens,total_candidates,total_score_sum,sum_max_scores,sum_avg_scores,sum_pseudo_scores,global_avg_score
全量数据,70,2,2,19,21,0.028571,0.271429,0.3,2.8571,27.1429,30.0,1129392,639403,1768795,182,9.5,9.16,3.183333,9.5,0.052198
排除训练集后,48,2,2,12,14,0.041667,0.25,0.291667,4.1667,25.0,29.1667,785531,461401,1246932,126,6.83,6.83,2.2375,6.83,0.054206
