data_type,task_difficulty,total_tasks,total_actual_solved_tasks,total_partial_actual_solved_tasks,total_solved_tasks,total_actual_solved_tasks_rate,total_partial_actual_solved_tasks_rate,total_solved_tasks_rate
全量数据,easy,30,0,5,5,0.0,0.166667,0.166667
全量数据,medium,29,1,9,10,0.034483,0.310345,0.344828
全量数据,hard,11,0,5,5,0.0,0.454545,0.454545
全量数据,unknown,0,0,0,0,0.0,0.0,0.0
排除训练集后,easy,24,0,5,5,0.0,0.208333,0.208333
排除训练集后,medium,16,1,4,5,0.0625,0.25,0.3125
排除训练集后,hard,8,0,4,4,0.0,0.5,0.5
排除训练集后,unknown,0,0,0,0,0.0,0.0,0.0
