data_type,total_tasks,total_pseudo_solved_tasks,total_actual_solved_tasks,total_partial_actual_solved_tasks,total_solved_tasks,total_actual_solved_tasks_rate,total_partial_actual_solved_tasks_rate,total_solved_tasks_rate,actual_correct_rate_percent,partial_correct_rate_percent,total_correct_rate_percent,total_input_tokens,total_output_tokens,total_tokens,total_candidates,total_score_sum,sum_max_scores,sum_avg_scores,sum_pseudo_scores,global_avg_score
全量数据,78,10,8,13,21,0.102564,0.166667,0.269231,10.2564,16.6667,26.9231,1895338,1076324,2971662,269,19.07,13.49,5.046786,15.07,0.070892
排除训练集后,78,10,8,13,21,0.102564,0.166667,0.269231,10.2564,16.6667,26.9231,1895338,1076324,2971662,269,19.07,13.49,5.046786,15.07,0.070892
