data_type,total_tasks,total_pseudo_solved_tasks,total_actual_solved_tasks,total_partial_actual_solved_tasks,total_solved_tasks,total_actual_solved_tasks_rate,total_partial_actual_solved_tasks_rate,total_solved_tasks_rate,actual_correct_rate_percent,partial_correct_rate_percent,total_correct_rate_percent,total_input_tokens,total_output_tokens,total_tokens,total_candidates,total_score_sum,sum_max_scores,sum_avg_scores,sum_pseudo_scores,global_avg_score
全量数据,70,1,1,17,18,0.014286,0.242857,0.257143,1.4286,24.2857,25.7143,1116927,26923,1143850,182,7.75,7.25,2.683333,7.75,0.042582
排除训练集后,48,1,1,10,11,0.020833,0.208333,0.229167,2.0833,20.8333,22.9167,777441,18310,795751,128,5.42,4.92,1.739167,5.42,0.042344
