data_type,total_tasks,total_pseudo_solved_tasks,total_actual_solved_tasks,total_partial_actual_solved_tasks,total_solved_tasks,total_actual_solved_tasks_rate,total_partial_actual_solved_tasks_rate,total_solved_tasks_rate,actual_correct_rate_percent,partial_correct_rate_percent,total_correct_rate_percent,total_input_tokens,total_output_tokens,total_tokens,total_candidates,total_score_sum,sum_max_scores,sum_avg_scores,sum_pseudo_scores,global_avg_score
全量数据,136,26,17,28,45,0.125,0.205882,0.330882,12.5,20.5882,33.0882,12802604,2221991,15024595,461,46.82,30.32,14.254702,33.32,0.101562
排除训练集后,106,20,11,22,33,0.103774,0.207547,0.311321,10.3774,20.7547,31.1321,10109959,1792101,11902060,366,36.82,21.32,9.921369,24.32,0.100601
