data_type,total_tasks,total_pseudo_solved_tasks,total_actual_solved_tasks,total_partial_actual_solved_tasks,total_solved_tasks,total_actual_solved_tasks_rate,total_partial_actual_solved_tasks_rate,total_solved_tasks_rate,actual_correct_rate_percent,partial_correct_rate_percent,total_correct_rate_percent,total_input_tokens,total_output_tokens,total_tokens,total_candidates,total_score_sum,sum_max_scores,sum_avg_scores,sum_pseudo_scores,global_avg_score
全量数据,136,30,18,28,46,0.132353,0.205882,0.338235,13.2353,20.5882,33.8235,11609898,2226824,13836722,472,53.59,30.5,15.408631,35.09,0.113538
排除训练集后,106,25,13,22,35,0.122642,0.207547,0.330189,12.2642,20.7547,33.0189,9272160,1770922,11043082,375,43.84,22.67,12.266964,25.84,0.116907
