data_type,task_difficulty,total_tasks,total_actual_solved_tasks,total_partial_actual_solved_tasks,total_solved_tasks,total_actual_solved_tasks_rate,total_partial_actual_solved_tasks_rate,total_solved_tasks_rate
全量数据,easy,62,17,2,19,0.274194,0.032258,0.306452
全量数据,medium,57,6,22,28,0.105263,0.385965,0.491228
全量数据,hard,17,0,12,12,0.0,0.705882,0.705882
全量数据,unknown,0,0,0,0,0.0,0.0,0.0
排除训练集后,easy,46,11,1,12,0.23913,0.021739,0.26087
排除训练集后,medium,48,4,21,25,0.083333,0.4375,0.520833
排除训练集后,hard,12,0,8,8,0.0,0.666667,0.666667
排除训练集后,unknown,0,0,0,0,0.0,0.0,0.0
