data_type,total_tasks,total_pseudo_solved_tasks,total_actual_solved_tasks,total_partial_actual_solved_tasks,total_solved_tasks,total_actual_solved_tasks_rate,total_partial_actual_solved_tasks_rate,total_solved_tasks_rate,actual_correct_rate_percent,partial_correct_rate_percent,total_correct_rate_percent,total_input_tokens,total_output_tokens,total_tokens,total_candidates,total_score_sum,sum_max_scores,sum_avg_scores,sum_pseudo_scores,global_avg_score
全量数据,136,31,27,33,60,0.198529,0.242647,0.441176,19.8529,24.2647,44.1176,6131846,1847034,7978880,484,52.08,41.59,15.116214,45.08,0.107603
排除训练集后,106,24,20,28,48,0.188679,0.264151,0.45283,18.8679,26.4151,45.283,4932168,1487425,6419593,390,42.75,32.76,11.984381,36.25,0.109615
