data_type,total_tasks,total_pseudo_solved_tasks,total_actual_solved_tasks,total_partial_actual_solved_tasks,total_solved_tasks,total_actual_solved_tasks_rate,total_partial_actual_solved_tasks_rate,total_solved_tasks_rate,actual_correct_rate_percent,partial_correct_rate_percent,total_correct_rate_percent,total_input_tokens,total_output_tokens,total_tokens,total_candidates,total_score_sum,sum_max_scores,sum_avg_scores,sum_pseudo_scores,global_avg_score
全量数据,36,12,9,8,17,0.25,0.222222,0.472222,25.0,22.2222,47.2222,3166074,531629,3697703,114,21.76,12.59,5.9825,14.26,0.190877
排除训练集后,29,7,5,6,11,0.172414,0.206897,0.37931,17.2414,20.6897,37.931,2585968,407912,2993880,88,14.25,7.75,3.6625,9.25,0.161932
