data_type,task_difficulty,total_tasks,total_actual_solved_tasks,total_partial_actual_solved_tasks,total_solved_tasks,total_actual_solved_tasks_rate,total_partial_actual_solved_tasks_rate,total_solved_tasks_rate
全量数据,easy,62,15,2,17,0.241935,0.032258,0.274194
全量数据,medium,57,6,24,30,0.105263,0.421053,0.526316
全量数据,hard,17,0,12,12,0.0,0.705882,0.705882
全量数据,unknown,0,0,0,0,0.0,0.0,0.0
排除训练集后,easy,46,10,1,11,0.217391,0.021739,0.23913
排除训练集后,medium,48,3,23,26,0.0625,0.479167,0.541667
排除训练集后,hard,12,0,8,8,0.0,0.666667,0.666667
排除训练集后,unknown,0,0,0,0,0.0,0.0,0.0
