data_type,total_tasks,total_pseudo_solved_tasks,total_actual_solved_tasks,total_partial_actual_solved_tasks,total_solved_tasks,total_actual_solved_tasks_rate,total_partial_actual_solved_tasks_rate,total_solved_tasks_rate,actual_correct_rate_percent,partial_correct_rate_percent,total_correct_rate_percent,total_input_tokens,total_output_tokens,total_tokens,total_candidates,total_score_sum,sum_max_scores,sum_avg_scores,sum_pseudo_scores,global_avg_score
全量数据,136,34,28,38,66,0.205882,0.279412,0.485294,20.5882,27.9412,48.5294,6040437,1849648,7890085,487,55.81,44.32,16.949452,47.31,0.1146
排除训练集后,106,27,21,30,51,0.198113,0.283019,0.481132,19.8113,28.3019,48.1132,4860121,1504172,6364293,393,45.15,34.16,12.420595,37.15,0.114885
