data_type,task_difficulty,total_tasks,total_actual_solved_tasks,total_partial_actual_solved_tasks,total_solved_tasks,total_actual_solved_tasks_rate,total_partial_actual_solved_tasks_rate,total_solved_tasks_rate
全量数据,easy,24,11,0,11,0.458333,0.0,0.458333
全量数据,medium,18,4,10,14,0.222222,0.555556,0.777778
全量数据,hard,9,0,7,7,0.0,0.777778,0.777778
全量数据,unknown,0,0,0,0,0.0,0.0,0.0
排除训练集后,easy,21,9,0,9,0.428571,0.0,0.428571
排除训练集后,medium,17,4,10,14,0.235294,0.588235,0.823529
排除训练集后,hard,8,0,7,7,0.0,0.875,0.875
排除训练集后,unknown,0,0,0,0,0.0,0.0,0.0
