data_type,task_difficulty,total_tasks,total_actual_solved_tasks,total_partial_actual_solved_tasks,total_solved_tasks,total_actual_solved_tasks_rate,total_partial_actual_solved_tasks_rate,total_solved_tasks_rate
全量数据,easy,24,6,0,6,0.25,0.0,0.25
全量数据,medium,18,1,11,12,0.055556,0.611111,0.666667
全量数据,hard,9,0,4,4,0.0,0.444444,0.444444
全量数据,unknown,0,0,0,0,0.0,0.0,0.0
排除训练集后,easy,21,6,0,6,0.285714,0.0,0.285714
排除训练集后,medium,17,1,11,12,0.058824,0.647059,0.705882
排除训练集后,hard,8,0,4,4,0.0,0.5,0.5
排除训练集后,unknown,0,0,0,0,0.0,0.0,0.0
