data_type,task_difficulty,total_tasks,total_actual_solved_tasks,total_partial_actual_solved_tasks,total_solved_tasks,total_actual_solved_tasks_rate,total_partial_actual_solved_tasks_rate,total_solved_tasks_rate
全量数据,easy,24,11,0,11,0.458333,0.0,0.458333
全量数据,medium,18,6,7,13,0.333333,0.388889,0.722222
全量数据,hard,9,2,4,6,0.222222,0.444444,0.666667
全量数据,unknown,0,0,0,0,0.0,0.0,0.0
排除训练集后,easy,21,9,0,9,0.428571,0.0,0.428571
排除训练集后,medium,17,6,7,13,0.352941,0.411765,0.764706
排除训练集后,hard,8,2,4,6,0.25,0.5,0.75
排除训练集后,unknown,0,0,0,0,0.0,0.0,0.0
