data_type,total_tasks,total_pseudo_solved_tasks,total_actual_solved_tasks,total_partial_actual_solved_tasks,total_solved_tasks,total_actual_solved_tasks_rate,total_partial_actual_solved_tasks_rate,total_solved_tasks_rate,actual_correct_rate_percent,partial_correct_rate_percent,total_correct_rate_percent,total_input_tokens,total_output_tokens,total_tokens,total_candidates,total_score_sum,sum_max_scores,sum_avg_scores,sum_pseudo_scores,global_avg_score
全量数据,51,15,8,12,20,0.156863,0.235294,0.392157,15.6863,23.5294,39.2157,1162470,1009577,2172047,146,25.97,12.98,8.473167,15.47,0.177877
排除训练集后,46,13,7,12,19,0.152174,0.26087,0.413043,15.2174,26.087,41.3043,1061477,960400,2021877,138,23.97,11.98,7.973167,14.47,0.173696
