data_type,task_difficulty,total_tasks,total_actual_solved_tasks,total_partial_actual_solved_tasks,total_solved_tasks,total_actual_solved_tasks_rate,total_partial_actual_solved_tasks_rate,total_solved_tasks_rate
全量数据,easy,24,9,0,9,0.375,0.0,0.375
全量数据,medium,18,2,11,13,0.111111,0.611111,0.722222
全量数据,hard,9,0,7,7,0.0,0.777778,0.777778
全量数据,unknown,0,0,0,0,0.0,0.0,0.0
排除训练集后,easy,21,7,0,7,0.333333,0.0,0.333333
排除训练集后,medium,17,2,11,13,0.117647,0.647059,0.764706
排除训练集后,hard,8,0,7,7,0.0,0.875,0.875
排除训练集后,unknown,0,0,0,0,0.0,0.0,0.0
