data_type,task_difficulty,total_tasks,total_actual_solved_tasks,total_partial_actual_solved_tasks,total_solved_tasks,total_actual_solved_tasks_rate,total_partial_actual_solved_tasks_rate,total_solved_tasks_rate
全量数据,easy,62,18,2,20,0.290323,0.032258,0.322581
全量数据,medium,57,11,18,29,0.192982,0.315789,0.508772
全量数据,hard,17,1,11,12,0.058824,0.647059,0.705882
全量数据,unknown,0,0,0,0,0.0,0.0,0.0
排除训练集后,easy,46,12,1,13,0.26087,0.021739,0.282609
排除训练集后,medium,48,9,17,26,0.1875,0.354167,0.541667
排除训练集后,hard,12,0,9,9,0.0,0.75,0.75
排除训练集后,unknown,0,0,0,0,0.0,0.0,0.0
