data_type,total_tasks,total_pseudo_solved_tasks,total_actual_solved_tasks,total_partial_actual_solved_tasks,total_solved_tasks,total_actual_solved_tasks_rate,total_partial_actual_solved_tasks_rate,total_solved_tasks_rate,actual_correct_rate_percent,partial_correct_rate_percent,total_correct_rate_percent,total_input_tokens,total_output_tokens,total_tokens,total_candidates,total_score_sum,sum_max_scores,sum_avg_scores,sum_pseudo_scores,global_avg_score
全量数据,136,35,30,31,61,0.220588,0.227941,0.448529,22.0588,22.7941,44.8529,13704108,1585614,15289722,489,55.29,43.47,16.899798,46.13,0.113067
排除训练集后,106,26,21,27,48,0.198113,0.254717,0.45283,19.8113,25.4717,45.283,10908654,1274817,12183471,393,43.47,32.81,12.520464,35.47,0.110611
