data_type,task_difficulty,total_tasks,total_actual_solved_tasks,total_partial_actual_solved_tasks,total_solved_tasks,total_actual_solved_tasks_rate,total_partial_actual_solved_tasks_rate,total_solved_tasks_rate
全量数据,easy,30,0,3,3,0.0,0.1,0.1
全量数据,medium,29,1,5,6,0.034483,0.172414,0.206897
全量数据,hard,11,0,3,3,0.0,0.272727,0.272727
全量数据,unknown,0,0,0,0,0.0,0.0,0.0
排除训练集后,easy,24,0,3,3,0.0,0.125,0.125
排除训练集后,medium,16,1,3,4,0.0625,0.1875,0.25
排除训练集后,hard,8,0,2,2,0.0,0.25,0.25
排除训练集后,unknown,0,0,0,0,0.0,0.0,0.0
