data_type,total_tasks,total_pseudo_solved_tasks,total_actual_solved_tasks,total_partial_actual_solved_tasks,total_solved_tasks,total_actual_solved_tasks_rate,total_partial_actual_solved_tasks_rate,total_solved_tasks_rate,actual_correct_rate_percent,partial_correct_rate_percent,total_correct_rate_percent,total_input_tokens,total_output_tokens,total_tokens,total_candidates,total_score_sum,sum_max_scores,sum_avg_scores,sum_pseudo_scores,global_avg_score
全量数据,70,1,1,14,15,0.014286,0.2,0.214286,1.4286,20.0,21.4286,874350,1372103,2246453,245,6.17,5.83,1.879714,6.17,0.025184
排除训练集后,48,1,1,10,11,0.020833,0.208333,0.229167,2.0833,20.8333,22.9167,576242,891614,1467856,161,4.58,4.58,1.377214,4.58,0.028447
