id,apiId,model,promptTokens,completionTokens,totalTokens,cost,ip,openaiKeyId,createTime
1067844133,as-5p40t1psvi,deepseek-r1-250528,511,851,1362,0.009396,36.103.203.3,149014,1765733158000
1067843345,as-hrdze57hsp,deepseek-r1-250528,127,368,495,0.0038376,36.103.203.3,149014,1765733138000
1067842985,as-5r5p79sn7u,deepseek-r1-250528,20577,2049,22626,0.0690552,36.103.203.3,149014,1765733129000
1067689109,as-gbcf24adzb,deepseek-r1-250528,1311,2940,4251,0.0313704,36.103.203.2,149014,1765730077000
1066797765,as-ezw6ibmh0s,deepseek-r1-250528,115,3396,3511,0.0328776,36.103.203.3,149014,1765707637000
1066795712,as-yt9vmkxiu2,deepseek-r1-250528,467,1317,1784,0.013764,36.103.203.2,149014,1765707558000
1066794772,as-tjreeq6cgf,deepseek-r1-250528,89,426,515,0.0043032,36.103.203.3,149014,1765707525000
1066794442,as-eewytajbvm,deepseek-r1-250528,478,1806,2284,0.0184848,36.103.203.3,149014,1765707514000
1066793077,as-qx3kyfxkpc,deepseek-r1-250528,108,535,643,0.0053952,36.103.203.2,149014,1765707471000
1066792656,as-e39318h32a,deepseek-r1-250528,512,941,1453,0.0102624,36.103.203.2,149014,1765707457000
1066791899,as-eentapnxhz,deepseek-r1-250528,132,462,594,0.004752,36.103.203.2,149014,1765707433000
1066791516,as-8at4tbr5gf,deepseek-r1-250528,509,2306,2815,0.0233592,36.103.203.3,149014,1765707421000
1066789857,as-k607t7hw61,deepseek-r1-250528,139,385,524,0.0040296,36.103.203.3,149014,1765707362000
1066789571,as-8m6j318sr8,deepseek-r1-250528,476,2811,3287,0.028128,36.103.203.3,149014,1765707351000
1066787882,as-0hgxbxzvfr,deepseek-r1-250528,98,352,450,0.0036144,36.103.203.3,149014,1765707280000
1066787639,as-wwp6bfseeq,deepseek-r1-250528,510,2371,2881,0.0239856,36.103.203.3,149014,1765707270000
1066786145,as-dpqbn4nvaz,deepseek-r1-250528,132,948,1080,0.0094176,36.103.203.2,149014,1765707210000
1066785439,as-zaf3dnt6iq,deepseek-r1-250528,28316,2088,30404,0.0880032,36.103.203.3,149014,1765707186000
1066720384,as-vdnwyycc9b,deepseek-r1-250528,1326,2962,4288,0.0316176,36.103.203.3,149014,1765705062000
1066717394,as-w2j9e5qzr3,deepseek-r1-250528,2770,5478,8248,0.0592368,36.103.203.2,149014,1765704989000
1066711224,as-hqbxa8i348,deepseek-r1-250528,536,2486,3022,0.025152,36.103.203.3,149014,1765704840000
1066708751,as-6fjamq0tgj,deepseek-r1-250528,170,389,559,0.0041424,36.103.203.3,149014,1765704780000
1066708335,as-3kh33sm3rh,deepseek-r1-250528,527,1338,1865,0.0141096,36.103.203.2,149014,1765704770000
1066706908,as-e3sb9k9fdr,deepseek-r1-250528,161,447,608,0.0046776,36.103.203.2,149014,1765704723000
1066706714,as-g75tsrnukn,deepseek-r1-250528,541,1853,2394,0.0190872,36.103.203.3,149014,1765704711000
1066705518,as-i9jjshtsu1,deepseek-r1-250528,162,360,522,0.0038448,36.103.203.3,149014,1765704649000
1066705195,as-nfp4mt19sf,deepseek-r1-250528,551,669,1220,0.0077448,36.103.203.3,149014,1765704639000
1066704495,as-juxcfzvfvt,deepseek-r1-250528,173,375,548,0.0040152,36.103.203.3,149014,1765704617000
1066704205,as-k8wfhamvta,deepseek-r1-250528,29971,2602,32573,0.0969096,36.103.203.2,149014,1765704603000
1066660128,as-fi5y5m1qii,deepseek-r1-250528,1323,1235,2558,0.0150312,36.103.203.2,149014,1765702467000
1066659692,as-thjac3ibnp,deepseek-r1-250528,2760,4371,7131,0.0485856,36.103.203.2,149014,1765702437000
1066658040,as-dfzsa85zb0,deepseek-r1-250528,513,1957,2470,0.0200184,36.103.203.2,149014,1765702334000
1066657176,as-a5gm2ycae6,deepseek-r1-250528,147,383,530,0.0040296,36.103.203.2,149014,1765702285000
1066656873,as-fm2i0h41k1,deepseek-r1-250528,513,3523,4036,0.035052,36.103.203.2,149014,1765702270000
1066653746,as-2a412778d2,deepseek-r1-250528,132,1888,2020,0.0184416,36.103.203.3,149014,1765702152000
1066652794,as-i7g7di17gt,deepseek-r1-250528,554,4172,4726,0.0413808,36.103.203.2,149014,1765702091000
1066649798,as-gd1mu53d46,deepseek-r1-250528,188,213,401,0.002496,36.103.203.3,149014,1765701952000
1066649685,as-5mb3jxnr4r,deepseek-r1-250528,21899,3082,24981,0.0821448,36.103.203.2,149014,1765701946000
1066601443,as-a1ip4y2igc,deepseek-r1-250528,1333,1798,3131,0.02046,36.103.203.3,149014,1765699764000
1066600684,as-6ic05jp5d7,deepseek-r1-250528,2773,3438,6211,0.03966,36.103.203.3,149014,1765699713000
1066599229,as-ftxpvnexdh,deepseek-r1-250528,549,1326,1875,0.0140472,36.103.203.2,149014,1765699630000
1066598513,as-2navxys820,deepseek-r1-250528,170,466,636,0.0048816,36.103.203.3,149014,1765699598000
1066598296,as-nufp997jvb,deepseek-r1-250528,535,1740,2275,0.017988,36.103.203.3,149014,1765699586000
1066597453,as-jehdkwm565,deepseek-r1-250528,156,475,631,0.0049344,36.103.203.3,149014,1765699542000
1066597109,as-im15e0cz7h,deepseek-r1-250528,513,4546,5059,0.0448728,36.103.203.2,149014,1765699529000
1066595493,as-sfbimrp4t8,deepseek-r1-250528,129,484,613,0.004956,36.103.203.2,149014,1765699419000
1066595313,as-39pfvqkjt6,deepseek-r1-250528,557,1143,1700,0.0123096,36.103.203.2,149014,1765699406000
1066594810,as-af9wnvc32h,deepseek-r1-250528,191,1002,1193,0.0100776,36.103.203.3,149014,1765699378000
1066594470,as-4xh73g5uk3,deepseek-r1-250528,551,1847,2398,0.0190536,36.103.203.3,149014,1765699354000
1066593806,as-4cmsf05mau,deepseek-r1-250528,173,398,571,0.004236,36.103.203.2,149014,1765699310000
